iter	Passed	Remaining
399	38593	250856
400	38685	250733
401	38791	250695
402	38883	250569
403	38979	250472
404	39066	250316
405	39160	250203
406	39257	250112
407	39344	249951
408	39452	249927
409	39541	249786
410	39629	249634
411	39717	249490
412	39806	249346
413	39910	249294
414	40008	249212
415	40101	249089
416	40234	249220
417	40349	249240
418	40448	249156
419	40537	249013
420	40621	248840
421	40710	248697
422	40788	248493
423	40893	248446
424	40996	248392
425	41083	248238
426	41179	248135
427	41296	248165
428	41383	248014
429	41481	247922
430	41565	247754
431	41650	247591
432	41739	247449
433	41843	247397
434	41932	247255
435	42040	247231
436	42132	247104
437	42230	247017
438	42341	247007
439	42441	246931
440	42545	246881
441	42634	246742
442	42662	246249
443	42754	246126
444	42843	245988
445	42931	245845
446	43039	245815
447	43137	245732
448	43235	245645
449	43332	245552
450	43437	245503
451	43520	245334
452	43622	245266
453	43716	245158
454	43797	244976
455	43887	244844
456	43970	244673
457	44065	244571
458	44158	244460
459	44266	244427
460	44367	244359
461	44459	244236
462	44551	244119
463	44637	243965
464	44723	243814
465	44813	243684
466	44893	243500
467	44994	243432
468	45082	243290
469	45180	243204
470	45264	243043
471	45353	242911
472	45450	242819
473	45552	242756
474	45661	242727
475	45771	242706
476	45875	242648
477	45967	242529
478	46058	242408
479	46157	242325
480	46251	242220
481	46344	242106
482	46424	241927
483	46508	241765
484	46602	241662
485	46685	241496
486	46775	241370
487	46866	241248
488	46950	241091
489	47036	240939
490	47131	240840
491	47235	240787
492	47340	240734
493	47444	240680
494	47542	240596
495	47642	240516
496	47745	240455
497	47847	240392
498	47938	240266
499	48028	240144
500	48123	240040
501	48222	239959
502	48310	239823
503	48398	239688
504	48490	239573
505	48592	239504
506	48684	239387
507	48781	239298
508	48874	239187
509	48966	239071
510	49070	239016
511	49171	238941
512	49264	238832
513	49352	238699
514	49434	238532
515	49520	238391
516	49621	238319
517	49719	238231
518	49815	238136
519	49907	238019
520	49991	237867
521	50082	237746
522	50168	237604
523	50254	237462
524	50357	237400
525	50443	237256
526	50540	237165
527	50645	237111
528	50728	236955
529	50811	236800
530	50920	236767
531	51002	236604
532	51086	236454
533	51168	236294
534	51259	236177
535	51348	236051
536	51444	235953
537	51538	235849
538	51643	235795
539	51740	235705
540	51846	235655
541	51953	235610
542	52047	235506
543	52144	235417
544	52227	235263
545	52316	235135
546	52405	235008
547	52495	234887
548	52600	234834
549	52700	234755
550	52804	234698
551	52901	234608
552	53003	234538
553	53114	234510
554	53202	234380
555	53300	234291
556	53393	234185
557	53485	234071
558	53583	233985
559	53675	233869
560	53761	233732
561	53849	233605
562	53945	233509
563	54047	233440
564	54147	233359
565	54241	233256
566	54342	233181
567	54444	233112
568	54541	233022
569	54631	232901
570	54728	232810
571	54812	232667
572	54928	232655
573	55038	232618
574	55128	232498
575	55218	232376
576	55303	232235
577	55386	232085
578	55480	231981
579	55575	231885
580	55664	231760
581	55769	231702
582	55868	231621
583	55974	231565
584	56071	231475
585	56158	231342
586	56260	231270
587	56367	231219
588	56469	231152
589	56568	231069
590	56670	230995
591	56769	230911
592	56861	230803
593	56965	230737
594	57059	230636
595	57173	230613
596	57337	230792
597	57441	230724
598	57549	230679
599	57641	230564
600	57765	230579
601	57867	230509
602	57967	230428
603	58076	230381
604	58202	230406
605	58333	230447
606	58452	230437
607	58562	230395
608	58657	230296
609	58761	230229
610	58852	230113
611	58934	229959
612	59026	229847
613	59113	229714
614	59202	229591
615	59294	229478
616	59382	229348
617	59470	229221
618	59552	229071
619	59635	228923
620	59728	228815
621	59815	228683
622	59912	228591
623	60012	228509
624	60115	228438
625	60214	228353
626	60292	228189
627	60387	228088
628	60481	227984
629	60566	227844
630	60672	227784
631	60763	227671
632	60864	227594
633	60966	227517
634	61067	227441
635	61168	227363
636	61265	227267
637	61364	227184
638	61454	227063
639	61553	226978
640	61649	226881
641	61732	226737
642	61819	226606
643	61918	226522
644	62020	226447
645	62108	226321
646	62199	226207
647	62280	226056
648	62370	225936
649	62468	225847
650	62550	225700
651	62647	225607
652	62740	225501
653	62836	225404
654	62933	225312
655	63027	225206
656	63122	225106
657	63214	224996
658	63315	224918
659	63414	224832
660	63511	224741
661	63611	224658
662	63694	224516
663	63775	224366
664	63864	224246
665	63962	224155
666	64050	224031
667	64151	223955
668	64239	223829
669	64348	223780
670	64441	223673
671	64531	223554
672	64625	223454
673	64735	223404
674	64843	223348
675	64941	223260
676	65042	223182
677	65144	223105
678	65230	222976
679	65326	222879
680	65425	222792
681	65526	222711
682	65623	222618
683	65710	222492
684	65802	222384
685	65883	222237
686	65986	222164
687	66072	222033
688	66169	221942
689	66255	221812
690	66343	221689
691	66432	221569
692	66531	221483
693	66635	221413
694	66733	221325
695	66840	221265
696	66925	221131
697	67035	221084
698	67122	220957
699	67230	220900
700	67338	220843
701	67422	220708
702	67504	220566
703	67590	220435
704	67673	220297
705	67755	220158
706	67861	220093
707	67955	219990
708	68061	219928
709	68150	219809
710	68237	219683
711	68342	219616
712	68425	219478
713	68512	219354
714	68613	219274
715	68705	219165
716	68809	219096
717	68830	218762
718	68939	218708
719	69040	218628
720	69138	218539
721	69221	218402
722	69305	218267
723	69396	218156
724	69493	218064
725	69581	217944
726	69675	217842
727	69761	217717
728	69851	217603
729	69977	217600
730	70074	217509
731	70175	217428
732	70281	217364
733	70376	217266
734	70471	217168
735	70569	217079
736	70681	217030
737	70789	216971
738	70913	216961
739	71019	216897
740	71111	216789
741	71223	216741
742	71329	216676
743	71421	216567
744	71528	216504
745	71615	216383
746	71706	216271
747	71806	216187
748	71897	216077
749	71999	215997
750	72086	215874
751	72187	215793
752	72295	215734
753	72389	215633
754	72492	215556
755	72590	215466
756	72695	215396
757	72793	215306
758	72887	215204
759	72983	215109
760	73081	215017
761	73163	214881
762	73270	214818
763	73361	214706
764	73458	214614
765	73565	214548
766	73664	214462
767	73763	214374
768	73864	214292
769	73946	214157
770	74043	214064
771	74147	213989
772	74240	213885
773	74339	213798
774	74453	213754
775	74585	213759
776	74690	213690
777	74805	213647
778	74920	213605
779	75007	213482
780	75095	213362
781	75188	213257
782	75274	213133
783	75363	213017
784	75475	212964
785	75557	212830
786	75639	212694
787	75723	212563
788	75828	212491
789	75912	212362
790	76008	212267
791	76087	212122
792	76181	212020
793	76269	211901
794	76356	211781
795	76447	211670
796	76535	211553
797	76614	211409
798	76708	211307
799	76814	211238
800	76897	211109
801	77001	211033
802	77097	210937
803	77194	210844
804	77276	210709
805	77374	210619
806	77458	210491
807	77548	210380
808	77640	210272
809	77724	210143
810	77823	210055
811	77919	209959
812	78013	209859
813	78096	209728
814	78187	209618
815	78269	209486
816	78350	209350
817	78436	209228
818	78535	209139
819	78633	209049
820	78709	208901
821	78793	208773
822	78873	208636
823	78963	208524
824	79062	208437
825	79165	208361
826	79269	208284
827	79351	208154
828	79432	208018
829	79525	207915
830	79565	207675
831	79667	207595
832	79765	207504
833	79866	207422
834	79948	207292
835	80043	207192
836	80134	207085
837	80222	206970
838	80334	206917
839	80422	206799
840	80526	206727
841	80630	206651
842	80728	206560
843	80838	206502
844	80947	206439
845	81046	206352
846	81148	206272
847	81232	206145
848	81310	206006
849	81409	205917
850	81503	205816
851	81602	205730
852	81691	205616
853	81781	205508
854	81873	205400
855	81973	205315
856	82055	205187
857	82156	205103
858	82255	205016
859	82338	204887
860	82443	204815
861	82524	204684
862	82607	204556
863	82694	204439
864	82805	204382
865	82863	204192
866	82953	204083
867	83040	203964
868	83139	203877
869	83219	203743
870	83301	203615
871	83402	203532
872	83507	203458
873	83599	203354
874	83698	203266
875	83804	203196
876	83932	203179
877	84010	203041
878	84091	202910
879	84180	202797
880	84260	202666
881	84373	202610
882	84470	202518
883	84569	202431
884	84668	202342
885	84767	202256
886	84868	202172
887	84972	202095
888	85070	202007
889	85175	201933
890	85279	201855
891	85377	201765
892	85478	201683
893	85566	201570
894	85651	201448
895	85743	201345
896	85828	201222
897	85923	201126
898	86023	201040
899	86125	200958
900	86204	200825
901	86301	200731
902	86389	200619
903	86476	200502
904	86564	200389
905	86666	200309
906	86753	200192
907	86851	200102
908	86931	199971
909	87012	199841
910	87101	199730
911	87195	199631
912	87290	199535
913	87371	199406
914	87466	199309
915	87557	199203
916	87650	199100
917	87748	199011
918	87833	198891
919	87928	198794
920	88030	198713
921	88114	198591
922	88212	198503
923	88291	198369
924	88378	198254
925	88477	198166
926	88559	198041
927	88645	197923
928	88742	197832
929	88823	197704
930	88927	197626
931	89018	197520
932	89114	197426
933	89197	197304
934	89277	197174
935	89357	197045
936	89456	196958
937	89561	196882
938	89643	196758
939	89732	196647
940	89829	196556
941	89931	196474
942	90019	196362
943	90111	196260
944	90194	196137
